Company Name,Price,High,Low,Pct Increase
Cipla Ltd.,742.5,829,356.75,108.1289418
City Union Bank Ltd.,188.25,249,110.1,70.98092643
Coal India Ltd.,128.7,215.65,109.5,17.53424658
Cochin Shipyard Ltd.,339.25,491.15,209,62.32057416
COFORGE LIMITED Ltd.,2307.3,2813.05,739.05,212.1980921
Colgate Palmolive (India) Ltd.,1531.7,1602.45,1065.2,43.79459256
Container Corporation of India Ltd.,409,605,263.2,55.39513678
Coromandel International Ltd.,791.1,838,444.2,78.0954525
CreditAccess Grameen Ltd.,719.25,1000.8,305.75,135.2412101
CRISIL Ltd.,2016.95,2125,1083.5,86.15136133
Cummins India Ltd.,492.75,652.8,281.6,74.98224432
Cyient Ltd.,428.2,514,184.15,132.5278306
Dabur India Ltd.,511.5,535.85,385.05,32.83989092
Dalmia Bharat Ltd.,982.6,989,406,142.0197044
DB Corp Ltd.,76.5,150.5,59,29.66101695
DCB Bank Ltd.,90.65,204.55,58.1,56.02409639
DCM Shriram Ltd.,340.35,431.1,175.8,93.60068259
Deepak Fertilizers and Petrochemicals Coprn Ltd.,142.4,182.01,53.79,164.7332218
Deepak Nitrite Ltd.,802.6,888,310,158.9032258
Delta Corp Ltd.,132.4,224.75,54,145.1851852
Dhanuka Agritech Ltd.,708.95,935,261,171.6283525
Dilip Buildcon Ltd.,361.45,441.5,193.4,86.89245088
Dish TV India Ltd.,10.43,19.38,3.93,165.394402
Dishman Carbogen Amcis Ltd.,144.75,216.65,46.45,211.6254037
Divis Laboratories Ltd.,3428.25,3484.7,1627.15,110.6904711
Dixon Technologies Ltd.,10120.95,10790,2899.95,249.0042932
DLF Ltd.,188.2,266.65,114.5,64.36681223
Dr Lal PathLabs Ltd.,2142.05,2395,1181.8,81.25317313
Dr Reddys Laboratories Ltd.,4785.3,5514.65,2497.6,91.59593209
eClerx Services Ltd.,715.5,814.65,323.15,121.4142039
Edelweiss Financial Services Ltd.,57.65,134.25,29.9,92.80936455
Eicher Motors Ltd.,2545.8,2587.45,1246,104.317817
EID Parry (India) Ltd.,299.95,325.4,100,199.95
EIH Ltd.,88.2,158.54,53.65,64.39888164
Emami Ltd.,382,407,140.85,171.2105076
Endurance Technologies Ltd.,1029,1201.9,562,83.09608541
Engineers India Ltd.,70.75,109.7,49.85,41.92577733
EPL Ltd.,262,318.75,126.1,107.7716098
Equitas Holdings Ltd.,51.95,120.5,32.75,58.6259542
Esab India Ltd.,1353.6,1727,870,55.5862069
Escorts Ltd.,1422,1433.6,527.1,169.7780307
Exide Industries Ltd.,170.35,208.1,121.9,39.74569319
FDC Ltd.,325.25,378,165.65,96.3477211
Federal Bank Ltd.,58,96.95,35.7,62.46498599
Fine Organics Industries Ltd.,2582,3258.25,1500,72.13333333
Finolex Cables Ltd.,277.1,429.9,165,67.93939394
Finolex Industries Ltd.,610.9,622.8,283,115.8657244
Firstsource Solutions Ltd.,75.65,78.35,20.65,266.3438257
Force Motors Ltd.,1092.7,1502,580,88.39655172
Fortis Healthcare Ltd.,141.9,169,113.2,25.35335689
Future Consumer Ltd.,7.2,29.1,5.44,32.35294118
Future Retail Ltd.,68.4,387.9,61.05,12.03931204
GAIL India Ltd.,93.55,133.3,65.7,42.38964992
Galaxy Surfactants Ltd.,1921.35,2035.85,975,97.06153846
Garden Reach Shipbuilders & Engineers Ltd.,192.5,243.2,105.3,82.81101614
Garware Technical Fibres Ltd.,2112.75,2249.95,872.5,142.1489971
Gateway Distriparks Ltd.,103.95,137.6,71.01,46.3878327
GE Power India Ltd.,275,820.9,177.35,55.0606146
Great Eastern Shipping Company Ltd.,247.1,369.35,168.95,46.25628884
General Insurance Corporation of India Ltd.,126.1,286.5,81.7,54.34516524
Gillette India Ltd.,5873.6,7245,4420,32.88687783
GlaxoSmithKline Pharmaceuticals Ltd.,1452.4,1805,1046.4,38.79969419
Glenmark Pharma Ltd.,486.95,572.7,168,189.8511905
GMM Pfaudler Ltd.,3525.35,6913.85,1465,140.6382253
GMR Infrastructure Ltd.,24.45,28.25,14.1,73.40425532
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,191.5,232.3,95.7,100.1044932
Godfrey Phillips India Ltd.,876.5,1480.4,732.4,19.67504096
Godrej Agrovet Ltd.,505,597.95,265.05,90.53008866
Godrej Consumer Products Ltd.,679.8,771.75,425.1,59.91531404
Godrej Industries Ltd.,395.45,478.2,234,68.9957265
Godrej Properties Ltd.,1032.9,1188,505.95,104.1506078
Granules India Ltd.,385.45,406.9,114.5,236.6375546
Graphite India Ltd.,180.1,337.3,103,74.85436893
Grasim Industries Ltd.,841.7,853,380,121.5
Greaves Cotton Ltd.,73.75,148,66,11.74242424
Grindwell Norton Ltd.,554,699,369.2,50.05417118
Gujarat State Fertilizers & Chemicals Ltd.,64,97.7,29.9,114.0468227
Gujarat Alkalies and Chemicals Ltd.,316.05,450.55,165,91.54545455
Gujarat Heavy Chemicals Ltd.,166.1,217.7,68.8,141.4244186
Gujarat Mineral Development Corporation Ltd.,45.6,72.4,29.5,54.57627119
Gujarat State Petronet Ltd.,190.7,263.45,146,30.61643836
Gujarat Fluorochemicals Ltd.,526.35,698,219,140.3424658
Gujarat Gas Ltd.,311,334.65,189.2,64.37632135
Gujarat Pipavav Port Ltd.,90.75,99.3,45.5,99.45054945
Gulf Oil Lubricants India Ltd.,709.55,887,450,57.67777778
Hathway Cable and Datacom Ltd.,28.5,57.45,10.7,166.3551402
Havells India Ltd.,844.2,849.6,447.2,88.7745975
Hawkins Cooker Ltd.,5077.2,5539.95,3111,63.20154291
HCL Technologies Ltd.,815.25,910.75,375.5,117.1105193
Housing Development Finance Corporation Ltd.,2347.15,2499.65,1473.1,59.33405743
HDFC Asset Management Company Ltd.,2503.65,3844,1963.6,27.50305561
HDFC Bank Ltd.,1408.2,1415,738.9,90.58059277
HDFC Life Insurance Company Ltd.,670.05,673.75,339.15,97.56744803
HEG Ltd.,703.85,1299.8,413.2,70.34123911
HeidelbergCement India Ltd.,206.3,217.8,120,71.91666667
Heritage Foods Ltd.,270.7,407.7,146.7,84.52624404
Hero Motocorp Ltd.,3034,3393.85,1475,105.6949153
HFCL Ltd.,16.9,20,8.15,107.3619632
Himadri Speciality Chemical Ltd.,45.1,74.85,27.3,65.2014652
Himatsingka Seide Ltd.,121.9,151.95,43,183.4883721
Hindustan Copper Ltd.,36.7,51,18.3,100.5464481
Hindustan Zinc Ltd.,223.95,258.8,122,83.56557377
Hindalco Industries Ltd.,213.45,221.2,85.05,150.9700176
Hindustan Aeronautics Ltd.,779.9,1423.55,448,74.08482143
Honeywell Automation Ltd.,29865,39499.5,20142,48.2722669
Hindustan Petroleum Corporation Ltd.,217.7,302.6,155,40.4516129
Housing & Urban Development Corporation Ltd.,33.45,45.7,18.05,85.31855956
Hindustan Unilever Ltd.,2176.35,2614,1756,23.93792711
ICICI Bank Ltd.,486.2,552.4,269,80.74349442
ICICI Lombard General Insurance Company Ltd.,1323.8,1439.9,805.6,64.32472691
ICICI Prudential Life Insurance Company Ltd.,448.95,537.5,221.95,102.2752872
ICICI Securities Ltd.,456,568.75,203.6,123.9685658
IDBI Bank,37.5,55.75,17.5,114.2857143
IDFC Ltd.,33.1,40.5,13.4,147.0149254
IDFC First Bank Ltd.,33.55,48,17.75,89.01408451
Indian Energy Exchange Ltd.,207.95,219.05,111.05,87.2579919
IFB Industries Ltd.,777.35,801,232.05,234.9924585
IFCI Ltd.,6.07,8.64,3.1,95.80645161
Indraprastha Gas Ltd.,439.55,534.4,284.55,54.47197329
IIFL Finance Ltd.,112.5,212.8,58.15,93.46517627
India Cements Ltd.,134.1,140,69.45,93.08855292
India Tourism Development Corporation Ltd.,261.3,419.3,104.95,148.9757027
Indiabulls Housing Finance Ltd.,180.45,376.8,81.25,122.0923077
Indiabulls Real Estate Ltd.,60.05,113,36.85,62.95793758
Indiamart Intermesh Ltd.,4869,5485,1641.2,196.673166
Indian Bank,64.3,134.55,41.7,54.19664269
Indian Hotels Company Ltd.,120.05,158,62.1,93.31723027
Indoco Remedies Ltd.,258.3,295,140.2,84.23680456
Indostar Capital Finance Ltd.,294.75,332,166,77.56024096
IndusInd Bank Ltd.,784.05,1596.35,235.6,232.7886248
Infibeam Avenues Ltd.,81.6,94.05,26.55,207.3446328
Info Edge India Ltd.,3940.35,3946.1,1580,149.3892405
Infosys Ltd.,1123.85,1185,511.1,119.8884758
INOX Leisure Ltd.,270.9,510.8,158.2,71.23893805
Interglobe Aviation Ltd.,1644.35,1669.75,765.05,114.9336645
Indian Overseas Bank,9.43,13.83,6.17,52.8363047
Indian Oil Corporation Ltd.,84.9,140.1,71.15,19.32536894
Ipca Laboratories Ltd.,2110,2455.55,1058.5,99.33868682
IRB Infrastructure Developers Ltd.,113.7,138.8,46,147.173913
Ircon International Ltd.,81.8,119.76,58.2,40.54982818
IRCTC - Indian Railway Catering & Tourism Corp Ltd.,1384.8,1995,774.85,78.71846164
ITC Ltd.,187.3,255.95,134.95,38.79214524
ITI Ltd.,123,151.6,44.9,173.9420935
IIFL Wealth Management Ltd.,997.7,1658.55,710,40.52112676
J. K. Cement Ltd.,1914.7,2001.4,800,139.3375
Jagran Prakashan Ltd.,37.05,74.4,29.55,25.38071066
Jai Corp Ltd.,89.65,121.9,42.65,110.1992966
Jamna Auto Industries Ltd.,49.4,52.1,21,135.2380952
JB Chemicals and Pharmaceuticals Ltd.,955.7,1150,370,158.2972973
Jindal Stainless (Hisar) Ltd.,120.5,122.8,30.4,296.3815789
Jindal Saw Ltd.,65.6,102.7,40,64
Jindal Stainless Ltd.,62.6,63.5,22.3,180.7174888
Jindal Steel & Power Ltd.,228.95,238.4,62.1,268.6795491
Jammu and Kashmir Bank Ltd.,15.86,36,11.05,43.52941176
JK Lakshmi Cement Ltd.,355.2,389.35,179.8,97.55283648
JK Paper Ltd.,90.7,140.7,62.2,45.81993569
JK Tyre and Industries Ltd.,79.8,87.7,31.5,153.3333333
JM Financial Ltd.,78.45,126,55.5,41.35135135
Johnson Controls -Hitachi Air Conditioning India Ltd.,2185.8,3375,1660,31.6746988
JSW Energy Ltd.,61.8,79,34.75,77.84172662
JSW Steel Ltd.,340.85,350.5,132.5,157.245283
JTEKT India Ltd.,73.3,96,34.75,110.9352518
Jubilant Foodworks Ltd.,2526.75,2532.55,1141.8,121.2953232
Jubilant Life Sciences Ltd.,692,909.75,230,200.8695652
Just Dial Ltd.,638.6,717.4,250.55,154.8792656
Jyothy Labs Ltd.,134.6,185,86.2,56.14849188
Kajaria Ceramics Ltd.,616.05,623.9,295.4,108.5477319
Kalpataru Power Transmission Ltd.,297.3,475.65,170,74.88235294
Kansai Nerolac Paints Ltd.,537.6,556.05,296.3,81.43773203
Karnataka Bank Ltd.,44.75,75,34.2,30.84795322
KEC International Ltd.,336.15,359.15,154.5,117.5728155
KEI Industries Ltd.,355.8,580,208.4,70.7293666
KNR Constructions Ltd.,260.3,311.05,171.65,51.64579085
Kotak Mahindra Bank Ltd.,1796.7,1817.8,1000.35,79.6071375
KPIT Technologies Ltd.,107.2,129.6,34.45,211.1756168
KPR Mill Ltd.,795.5,840,316.9,151.0255601
KRBL Ltd.,252.35,339.6,91.25,176.5479452
KSB Ltd.,526.75,764.45,386.4,36.32246377
L&T Finance Holdings Ltd.,70.45,134,46,53.15217391
Larsen & Toubro Infotech Ltd.,2996.05,3515.15,1207.6,148.0995363
L&T Technology Services Ltd.,1696.9,1879,995,70.54271357
La Opala RG Ltd.,217.75,251.6,131.5,65.58935361
Lakshmi Machine Works Ltd.,4196.3,4331.15,2001,109.7101449
Larsen & Toubro Ltd.,1081.25,1417.5,661.05,63.56553967
Laurus Labs Ltd.,279.35,345,61.9,351.2924071
Lemon Tree Hotels Ltd.,31.85,65.8,13.8,130.7971014
LIC Housing Finance Ltd.,314.85,486.4,186,69.27419355
Linde India Ltd.,923.55,937.2,378,144.3253968
Lupin Ltd.,887.95,1121.85,505,75.83168317
Lux Industries Ltd.,1514.2,1680,812.8,86.29429134
Mahindra and Mahindra Ltd.,637.05,666.35,245.8,159.1741253
Maharashtra Scooters Ltd.,3765,4890.1,1815,107.4380165
Maharashtra Seamless Ltd.,242.35,447.4,185,31
Mahanagar Gas Ltd.,869.75,1246.8,666.4,30.51470588
Mahindra Holidays and Resorts India Ltd.,185,244.7,122,51.63934426
Mahindra Lifespace Developers Ltd.,284.15,428.25,171.2,65.97546729
Mahindra Logistics Ltd.,396.75,457.9,199,99.3718593
Manappuram Finance Ltd.,163.8,194.6,75.6,116.6666667
Marico Ltd.,378.7,389.7,233.8,61.9760479
Maruti Suzuki India Ltd.,6981.5,7566,4002,74.45027486
MAS Financial Services Ltd.,1075.05,1269,448.05,139.9397389
Max Financial Services Ltd.,611.8,645,279.75,118.6952636
Multi Commodity Exchange of India Ltd.,1657.4,1875,805.05,105.8754115
Meghmani Organics Ltd.,77.4,85,31.8,143.3962264
Metropolis Healthcare Ltd.,2023,2146.5,993.2,103.6850584
Minda Corporation Ltd.,70.4,122,52.6,33.84030418
Minda Industries Ltd.,368,423.71,208.25,76.71068427
Mindtree Ltd.,1340.35,1605.45,675.8,98.3353063
Mishra Dhatu Nigam Ltd.,191.95,278,135.2,41.97485207
MMTC Ltd.,18.55,24.35,9.9,87.37373737
MOIL Ltd.,126.3,170,86.8,45.50691244
Motherson Sumi Systems Ltd.,130.5,151,48.5,169.0721649
Motilal Oswal Financial Services Ltd.,625,903.5,426,46.71361502
MphasiS Ltd.,1315,1462.9,612.05,114.8517278
MRF Ltd.,74201.4,74624.4,50000,48.4028
Mangalore Refinery and Petrochemicals Ltd.,28.15,49.5,21.25,32.47058824
Muthoot Finance Ltd.,1165.55,1405,477.5,144.0942408
National Aluminium Company Ltd.,36.7,48.8,24.45,50.10224949
Narayana Hrudayalaya Ltd.,363.7,389,210,73.19047619
Natco Pharma Ltd.,904.4,995.05,450,100.9777778
Nava Bharat Ventures Ltd.,48.85,95.2,32.4,50.77160494
Navin Fluorine International Ltd.,2595.1,2615.85,840.25,208.848557
Navneet Education Ltd.,84.45,104,45.1,87.25055432
NBCC (India) Ltd.,24.85,39.65,14.1,76.24113475
NCC Ltd.,39.75,70,15.9,150
NESCO Ltd.,509.3,816.9,381.1,33.63946471
Nestle India Ltd.,16983.2,18301,12588.95,34.90561167
Network 18 Media & Investments Ltd.,33.95,50.05,14.85,128.6195286
New India Assurance Company Ltd.,117.3,172,75,56.4
NHPC Ltd.,20.6,29,15.15,35.97359736
Nilkamal Ltd.,1347.95,1544.15,911,47.96377607
Nippon Life India Asset Management Ltd.,288.8,452.95,201,43.68159204
NLC India Ltd.,49.95,62.55,35.05,42.510699
NMDC Ltd.,96.05,139.5,62,54.91935484
NOCIL Ltd.,143,156.3,44.7,219.9105145
NTPC Ltd.,88.65,125,74,19.7972973
Oberoi Realty Ltd.,449,583.55,290.1,54.77421579
Oil India Ltd.,93.1,169.3,66,41.06060606
Omaxe Ltd.,68.4,222.2,59.6,14.76510067
Oil and Natural Gas Corporation Ltd.,71.3,140.75,51.8,37.64478764
Oracle Financial Services Software Ltd.,3072,3402.05,1532.5,100.45677
Orient Cement Ltd.,69.65,89.7,35.25,97.58865248
Orient Refractories Ltd.,210,268.5,108.5,93.5483871
Procter and Gamble Hygiene and Health Care Ltd.,10660,12450,8500,25.41176471
Page Industries Ltd.,22714.4,26891,16186.75,40.3271194
Parag Milk Foods Ltd.,108.85,162.7,48.5,124.4329897
PC Jeweller Ltd.,15.75,34.85,7.8,101.9230769
Persistent Systems Ltd.,1175,1389.95,420,179.7619048
Petronet LNG Ltd.,259.35,284.8,170.75,51.88872621
Pfizer Ltd.,4950.2,5875,3588.15,37.95967281
Phillips Carbon Black Ltd.,155.35,159.9,54.2,186.6236162
Phoenix Mills Ltd.,630.9,979.5,466.25,35.31367292
PI Industries Ltd.,2386.15,2419,973.7,145.0600801
Pidilite Industries Ltd.,1565.65,1709.85,1186.05,32.00539606
Piramal Enterprises Ltd.,1411.4,1861.55,608,132.1381579
Punjab National Bank,29.8,67.75,26.3,13.30798479
PNB Housing Finance Ltd.,389,579.25,146,166.4383562
PNC Infratech Ltd.,162.7,214.75,80.85,101.2368584
Polycab India Ltd.,928.35,1180,571.7,62.38411754
Power Finance Corporation Ltd.,103.9,133.3,74.2,40.02695418
Power Grid Corporation of India Ltd.,186.8,211.1,129.75,43.96917148
Prestige Estates Projects Ltd.,260.75,426.15,133.85,94.80762047
Prism Johnson Ltd.,83.35,87,25.8,223.0620155
